Id,LotArea,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,SalePrice
1,8450,196.0,706,856,854,1710,548,0,208500
2,9600,0.0,978,1262,0,1262,460,298,181500
3,11250,162.0,486,920,866,1786,608,0,223500
4,9550,0.0,216,756,756,1717,642,0,140000
5,14260,350.0,655,1145,1053,2198,836,192,250000
6,14115,0.0,732,796,566,1362,480,40,143000
7,10084,186.0,1369,1686,0,1694,636,255,307000
8,10382,240.0,859,1107,983,2090,484,235,200000
9,6120,0.0,0,952,752,1774,468,90,129900
10,7420,0.0,851,991,0,1077,205,0,118000
11,11200,0.0,906,1040,0,1040,384,0,129500
12,11924,286.0,998,1175,1142,2324,736,147,345000
13,12968,0.0,737,912,0,912,352,140,144000
14,10652,306.0,0,1494,0,1494,840,160,279500
15,10920,212.0,733,1253,0,1253,352,0,157000
16,6120,0.0,0,832,0,854,576,48,132000
17,11241,180.0,578,1004,0,1004,480,0,149000
18,10791,0.0,0,0,0,1296,516,0,90000
19,13695,0.0,646,1114,0,1114,576,0,159000
20,7560,0.0,504,1029,0,1339,294,0,139000
21,14215,380.0,0,1158,1218,2376,853,240,325300
22,7449,0.0,0,637,0,1108,280,0,139400
23,9742,281.0,0,1777,0,1795,534,171,230000
24,4224,0.0,840,1040,0,1060,572,100,129900
25,8246,0.0,188,1060,0,1060,270,406,154000
26,14230,640.0,0,1566,0,1600,890,0,256300
27,7200,0.0,234,900,0,900,576,222,134800
28,11478,200.0,1218,1704,0,1704,772,0,306000
29,16321,0.0,1277,1484,0,1600,319,288,207500
30,6324,0.0,0,520,0,520,240,49,68500
31,8500,0.0,0,649,668,1317,250,0,40000
32,8544,0.0,0,1228,0,1228,271,0,149350
33,11049,0.0,0,1234,0,1234,484,0,179900
34,10552,0.0,1018,1398,0,1700,447,0,165500
35,7313,246.0,1153,1561,0,1561,556,203,277500
36,13418,132.0,0,1117,1320,2452,691,113,309000
