ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Nuevo;0;0;M;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;BRENA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE REDES Y COMUNICACIONES;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;0;0
Nuevo;1;0;M;COLEGIO;COLEGIO SISE;PRIVADA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;1;1;F;;;;LIMA;LIMA;JESUS MARIA;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Nuevo;0;0;F;COLEGIO;1220 SAN JOSE MARELLO;ESTATAL;LIMA;LIMA;ATE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADMINISTRACION DE NEGOCIOS (50/50);NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;0;0
Nuevo;1;1;F;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;SURQUILLO;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MAÑANA;CONVENIOS;Presencial;4. 24-29;No;2;0
Nuevo;1;1;F;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;DISEÑO DIGITAL PUBLICITARIO;NOCHE;CONVENIOS;Presencial;3. 21-23;No;3;0
Nuevo;0;0;M;;;;LIMA;LIMA;EL AGUSTINO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. ELECTRONICA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;2
Nuevo;1;1;F;INSTITUTO;IDAT;PRIVADA;CALLAO;CALLAO;CALLAO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. DE DISEÑO GRAFICO;NOCHE;CONVENIOS;Presencial;2. 19-20;No;2;0
Nuevo;0;0;M;INSTITUTO;SENATI;PRIVADA;CALLAO;CALLAO;CARMEN DE LA LEGUA-REYNOSO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERIA INDUSTRIAL (50/50);NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;2;2
Nuevo;0;0;M;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;BRENA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;0;0
Nuevo;0;0;F;;UNIVERSIDAD;;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE TELECOMUNICACIONES;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;0;0
