,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath,SnMoSold,CsMoSold
0,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,GasA,Ex,Y,SBrkr,856,854,0,3,1,Gd,8,Typ,0,,Attchd,RFn,548,TA,TA,Y,0,0,,,,0,2008,WD,Normal,208500,2566,61,3.5,0.8660254037844386,0.5000000000000001
1,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,GasA,Ex,Y,SBrkr,1262,0,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,460,TA,TA,Y,298,0,,,,0,2007,WD,Normal,181500,2524,0,2.5,0.5,-0.8660254037844387
2,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,GasA,Ex,Y,SBrkr,920,866,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,608,TA,TA,Y,0,0,,,,0,2008,WD,Normal,223500,2706,42,3.5,-1.0,-1.8369701987210287e-16
3,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,GasA,Gd,Y,SBrkr,961,756,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,642,TA,TA,Y,0,0,,,,0,2006,WD,Abnorml,140000,2473,307,2.0,0.8660254037844386,0.5000000000000001
4,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,GasA,Ex,Y,SBrkr,1145,1053,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,836,TA,TA,Y,192,0,,,,0,2008,WD,Normal,250000,3343,84,3.5,-2.4492935982947064e-16,1.0
5,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,GasA,Ex,Y,SBrkr,796,566,0,1,1,TA,5,Typ,0,,Attchd,Unf,480,TA,TA,Y,40,0,,MnPrv,Shed,700,2009,WD,Normal,143000,2158,350,2.5,-0.8660254037844386,0.5000000000000001
6,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,GasA,Ex,Y,SBrkr,1694,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,636,TA,TA,Y,255,0,,,,0,2007,WD,Normal,307000,3380,57,3.0,-0.8660254037844384,-0.5000000000000004
7,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,GasA,Ex,Y,SBrkr,1107,983,0,3,1,TA,7,Typ,2,TA,Attchd,RFn,484,TA,TA,Y,235,0,,,Shed,350,2009,WD,Normal,200000,3197,432,3.5,-0.5000000000000004,0.8660254037844384
8,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,GasA,Gd,Y,FuseF,1022,752,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,468,Fa,TA,Y,90,0,,,,0,2008,WD,Abnorml,129900,2726,205,2.0,0.8660254037844387,-0.4999999999999998
9,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,GasA,Ex,Y,SBrkr,1077,0,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,205,Gd,TA,Y,0,0,,,,0,2008,WD,Normal,118000,2068,4,2.0,0.5,0.8660254037844387
