Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,Remodeled,Age,Isnew
1,60,RL,65.0,8450,Pave,3,Lvl,AllPub,Inside,2,0,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,196.0,2,2,PConc,2.0,2.0,0.0,5.0,706,1.0,0,150,856,GasA,4,1,SBrkr,854,0,1710,1,0,2,1,3,1,2,8,1,0,Attchd,1.0,548,2.0,2.0,2,0,61,0,0,0,0,0,2,WD,Normal,208500,0,5,0
2,20,RL,80.0,9600,Pave,3,Lvl,AllPub,FR2,2,0,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,CBlock,2.0,2.0,3.0,4.0,978,1.0,0,284,1262,GasA,4,1,SBrkr,0,0,1262,0,1,2,0,3,1,1,6,1,1,Attchd,1.0,460,2.0,2.0,2,298,0,0,0,0,0,0,5,WD,Normal,181500,0,31,0
3,60,RL,68.0,11250,Pave,2,Lvl,AllPub,Inside,2,0,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,162.0,2,2,PConc,2.0,2.0,1.0,5.0,486,1.0,0,434,920,GasA,4,1,SBrkr,866,0,1786,1,0,2,1,3,1,2,6,1,1,Attchd,1.0,608,2.0,2.0,2,0,42,0,0,0,0,0,9,WD,Normal,223500,1,6,0
4,70,RL,60.0,9550,Pave,2,Lvl,AllPub,Corner,2,0,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,0.0,1,2,BrkTil,1.0,3.0,0.0,4.0,216,1.0,0,540,756,GasA,3,1,SBrkr,756,0,1717,1,0,1,0,3,1,2,7,1,1,Detchd,0.0,642,2.0,2.0,2,0,35,272,0,0,0,0,2,WD,Abnorml,140000,1,36,0
5,60,RL,84.0,14260,Pave,2,Lvl,AllPub,FR2,2,1,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,350.0,2,2,PConc,2.0,2.0,2.0,5.0,655,1.0,0,490,1145,GasA,4,1,SBrkr,1053,0,2198,1,0,2,1,4,1,2,9,1,1,Attchd,1.0,836,2.0,2.0,2,192,84,0,0,0,0,0,12,WD,Normal,250000,0,8,0
6,50,RL,85.0,14115,Pave,2,Lvl,AllPub,Inside,2,1,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,1,2,Wood,2.0,2.0,0.0,5.0,732,1.0,0,64,796,GasA,4,1,SBrkr,566,0,1362,1,0,1,1,1,1,1,5,1,0,Attchd,0.0,480,2.0,2.0,2,40,30,0,320,0,0,700,10,WD,Normal,143000,1,14,0
7,20,RL,75.0,10084,Pave,3,Lvl,AllPub,Inside,2,1,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,186.0,2,2,PConc,3.0,2.0,2.0,5.0,1369,1.0,0,317,1686,GasA,4,1,SBrkr,0,0,1694,1,0,2,0,3,1,2,7,1,1,Attchd,1.0,636,2.0,2.0,2,255,57,0,0,0,0,0,8,WD,Normal,307000,1,2,0
8,60,RL,,10382,Pave,2,Lvl,AllPub,Corner,2,1,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,240.0,1,2,CBlock,2.0,2.0,1.0,4.0,859,3.0,32,216,1107,GasA,4,1,SBrkr,983,0,2090,1,0,2,1,3,1,1,7,1,2,Attchd,1.0,484,2.0,2.0,2,235,204,228,0,0,0,350,11,WD,Normal,200000,0,36,0
9,50,RM,51.0,6120,Pave,3,Lvl,AllPub,Inside,2,1,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,952,952,GasA,3,1,FuseF,752,0,1774,0,0,2,0,2,2,1,8,6,2,Detchd,0.0,468,1.0,2.0,2,90,0,205,0,0,0,0,4,WD,Abnorml,129900,1,58,0
10,190,RL,50.0,7420,Pave,3,Lvl,AllPub,Corner,2,1,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,BrkTil,1.0,2.0,0.0,5.0,851,1.0,0,140,991,GasA,4,1,SBrkr,0,0,1077,1,0,1,0,2,2,1,5,1,2,Attchd,1.0,205,3.0,2.0,2,0,4,0,0,0,0,0,1,WD,Normal,118000,1,58,0
