,YearBuilt,YearRemodAdd,GarageArea,GrLivArea,MasVnrArea,WoodDeckSF,PoolArea,TotalBsmtSF,ScreenPorch,BsmtFinSF1,SalePrice
0,2003.0,2003.0,548.0,1710.0,196.0,0.0,0.0,856.0,0.0,706.0,208500.0
1,1976.0,1976.0,460.0,1262.0,0.0,298.0,0.0,1262.0,0.0,978.0,181500.0
2,2001.0,2002.0,608.0,1786.0,162.0,0.0,0.0,920.0,0.0,486.0,223500.0
3,1915.0,1970.0,642.0,1717.0,0.0,0.0,0.0,756.0,0.0,216.0,140000.0
4,2000.0,2000.0,836.0,2198.0,350.0,192.0,0.0,1145.0,0.0,655.0,250000.0
5,1993.0,1995.0,480.0,1362.0,0.0,40.0,0.0,796.0,0.0,732.0,143000.0
6,2004.0,2005.0,636.0,1694.0,186.0,255.0,0.0,1686.0,0.0,1369.0,307000.0
7,1973.0,1973.0,484.0,2090.0,240.0,235.0,0.0,1107.0,0.0,859.0,200000.0
8,1931.0,1950.0,468.0,1774.0,0.0,90.0,0.0,952.0,0.0,0.0,129900.0
9,1939.0,1950.0,205.0,1077.0,0.0,0.0,0.0,991.0,0.0,851.0,118000.0
10,1965.0,1965.0,384.0,1040.0,0.0,0.0,0.0,1040.0,0.0,906.0,129500.0
11,2005.0,2006.0,736.0,2324.0,286.0,147.0,0.0,1175.0,0.0,998.0,345000.0
12,1962.0,1962.0,352.0,912.0,0.0,140.0,0.0,912.0,176.0,737.0,144000.0
13,2006.0,2007.0,840.0,1494.0,306.0,160.0,0.0,1494.0,0.0,0.0,279500.0
14,1960.0,1960.0,352.0,1253.0,212.0,0.0,0.0,1253.0,0.0,733.0,157000.0
15,1929.0,2001.0,576.0,854.0,0.0,48.0,0.0,832.0,0.0,0.0,132000.0
16,1970.0,1970.0,480.0,1004.0,180.0,0.0,0.0,1004.0,0.0,578.0,149000.0
17,1967.0,1967.0,516.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0
18,2004.0,2004.0,576.0,1114.0,0.0,0.0,0.0,1114.0,0.0,646.0,159000.0
19,1958.0,1965.0,294.0,1339.0,0.0,0.0,0.0,1029.0,0.0,504.0,139000.0
