PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1,NAT_MARK,Year-DOB,Month-DOB,NAT_MARK_range,NAT_MARK_range_encoded
0,1,1,28.0,17.0,45.0,53.7,2007,9,0-60,0
0,1,1,27.0,14.0,41.5,49.7,2007,11,0-60,0
0,1,1,27.0,13.0,27.5,52.1,2007,7,0-60,0
0,1,1,26.0,15.0,44.0,52.9,2007,2,0-60,0
0,1,1,25.0,14.0,31.5,52.1,2007,5,0-60,0
0,1,1,30.0,20.0,50.0,80.60000000000001,2007,2,80-90,3
0,1,1,30.0,20.0,48.5,79.8,2007,2,70-80,2
0,1,1,28.0,16.0,44.0,67.0,2007,7,60-70,1
0,1,1,30.0,19.0,45.0,64.8,2007,4,60-70,1
0,1,1,26.0,14.0,35.0,52.1,2007,7,0-60,0
0,1,1,28.0,12.0,40.0,47.9,2007,9,0-60,0
0,1,1,26.0,14.0,37.5,33.8,2007,5,0-60,0
0,1,1,30.0,19.0,45.5,55.3,2007,10,0-60,0
0,1,1,28.0,17.0,45.0,55.3,2007,2,0-60,0
0,1,1,27.0,16.0,42.5,59.8,2007,7,0-60,0
0,1,1,27.0,18.0,36.0,59.8,2007,6,0-60,0
0,1,1,28.0,20.0,45.0,50.5,2007,8,0-60,0
0,1,1,30.0,19.0,48.0,75.10000000000001,2007,10,70-80,2
0,1,1,25.0,15.0,44.5,45.2,2007,6,0-60,0
0,1,1,27.0,16.0,38.0,57.6,2007,5,0-60,0
0,1,1,26.0,15.0,32.5,51.3,2007,10,0-60,0
0,1,1,25.0,12.0,40.5,56.1,2007,2,0-60,0
0,1,1,28.0,16.0,46.5,71.4,2007,4,70-80,2
0,1,1,28.0,16.0,35.5,56.8,2007,6,0-60,0
0,1,1,27.0,18.0,46.0,57.6,2007,2,0-60,0
0,1,1,28.0,16.0,35.5,53.7,2007,11,0-60,0
0,1,1,30.0,18.0,47.5,64.1,2007,8,60-70,1
0,1,1,25.0,15.0,40.0,59.0,2007,2,0-60,0
0,1,1,25.0,7.0,29.0,41.1,2007,3,0-60,0
0,1,1,30.0,19.0,49.0,66.3,2007,2,60-70,1
0,1,1,24.0,12.0,38.0,49.7,2008,1,0-60,0
0,1,1,23.0,10.0,37.5,42.2,2007,12,0-60,0
0,1,1,30.0,18.0,49.0,73.60000000000001,2007,12,70-80,2
0,1,1,26.0,15.0,33.0,43.2,2007,2,0-60,0
0,1,1,26.0,13.0,38.0,52.1,2007,12,0-60,0
0,1,1,25.0,14.0,48.0,54.5,2007,5,0-60,0
0,1,1,28.0,14.0,40.0,47.9,2007,6,0-60,0
0,1,1,28.0,14.0,42.0,44.2,2007,2,0-60,0
0,1,1,23.0,10.0,43.0,47.0,2007,8,0-60,0
0,1,1,27.0,12.0,32.0,44.2,2007,7,0-60,0
0,1,1,26.0,17.0,44.0,55.3,2007,11,0-60,0
0,1,1,28.0,17.0,41.5,53.7,2007,11,0-60,0
0,1,1,30.0,18.0,40.0,56.8,2007,2,0-60,0
0,1,1,28.0,16.0,43.0,59.0,2007,2,0-60,0
0,1,1,30.0,17.0,41.5,56.8,2007,3,0-60,0
0,1,1,30.0,20.0,48.0,67.0,2007,7,60-70,1
0,1,1,29.0,18.0,44.5,61.2,2007,3,60-70,1
0,1,1,25.0,13.0,31.0,44.2,2007,5,0-60,0
0,1,1,30.0,20.0,49.5,66.3,2007,4,60-70,1
0,1,1,28.0,15.0,37.0,52.1,2007,9,0-60,0
0,1,1,27.0,15.0,45.0,67.0,2007,5,60-70,1
0,1,1,27.0,14.0,43.5,61.9,2007,12,60-70,1
0,1,1,27.0,15.0,35.0,59.0,2007,5,0-60,0
0,1,1,27.0,16.0,40.0,52.1,2007,9,0-60,0
0,1,1,30.0,19.0,47.0,57.6,2007,5,0-60,0
0,1,1,30.0,17.0,40.5,65.6,2007,1,60-70,1
0,1,1,30.0,19.0,44.5,59.8,2007,2,0-60,0
0,1,1,28.0,16.0,43.5,64.8,2007,6,60-70,1
0,1,1,28.0,15.0,40.0,58.3,2007,2,0-60,0
0,1,1,30.0,17.0,42.0,64.1,2007,10,60-70,1
0,1,1,29.0,15.0,26.5,57.6,2007,12,0-60,0
0,1,1,28.0,16.0,37.5,52.9,2007,10,0-60,0
0,1,1,28.0,17.0,44.5,51.3,2007,6,0-60,0
0,1,1,28.0,16.0,44.5,48.8,2007,10,0-60,0
0,1,1,30.0,17.0,50.0,61.9,2007,8,60-70,1
0,1,1,28.0,18.0,46.5,55.3,2007,3,0-60,0
0,1,1,30.0,18.0,46.5,56.1,2007,3,0-60,0
0,1,1,30.0,20.0,50.0,66.3,2007,5,60-70,1
0,1,1,29.0,16.0,42.5,48.8,2007,8,0-60,0
0,1,1,28.0,17.0,43.0,60.5,2007,7,60-70,1
0,1,1,26.0,12.0,33.5,36.5,2007,10,0-60,0
0,1,1,29.0,19.0,42.0,47.9,2007,4,0-60,0
0,1,1,27.0,16.0,38.0,61.9,2007,6,60-70,1
0,1,1,30.0,14.0,40.5,62.7,2007,10,60-70,1
0,1,1,27.0,13.0,36.5,56.8,2007,7,0-60,0
0,1,1,28.0,13.0,25.0,48.8,2007,8,0-60,0
2,1,1,26.0,6.0,5.0,33.8,2007,10,0-60,0
2,1,1,29.0,18.0,26.0,36.5,2007,3,0-60,0
2,1,1,25.0,10.0,18.0,43.2,2007,3,0-60,0
2,1,1,25.0,12.0,36.0,50.5,2007,7,0-60,0
2,1,1,30.0,20.0,49.0,46.1,2007,3,0-60,0
2,1,1,30.0,20.0,49.0,57.6,2007,4,0-60,0
2,1,1,26.0,12.0,22.0,32.4,2007,11,0-60,0
2,1,1,27.0,15.0,38.0,40.0,2008,1,0-60,0
2,1,1,30.0,20.0,49.0,56.1,2007,6,0-60,0
2,1,1,26.0,12.0,27.0,43.2,2007,12,0-60,0
2,1,1,21.0,8.0,19.0,43.2,2007,4,0-60,0
2,1,1,28.0,16.0,36.0,41.1,2004,1,0-60,0
2,1,1,27.0,16.0,31.0,52.1,2006,1,0-60,0
2,1,1,28.0,18.0,43.0,48.8,2007,11,0-60,0
2,1,1,30.0,20.0,44.0,44.2,2007,8,0-60,0
2,1,1,24.0,16.0,42.0,43.2,2007,6,0-60,0
2,1,1,28.0,18.0,34.0,35.2,2007,1,0-60,0
2,1,1,25.0,12.0,29.0,48.8,2006,5,0-60,0
2,1,1,30.0,20.0,44.0,58.3,2007,11,0-60,0
2,1,1,30.0,19.0,43.0,49.7,2007,9,0-60,0
2,1,1,30.0,20.0,50.0,68.5,2007,12,60-70,1
