,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath,SnMoSold,CsMoSold,Remodeled,Age,Isnew
0,60,RL,65.0,8450,Pave,3,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,2.0,196.0,2,2,PConc,2.0,2.0,0.0,5.0,706,1.0,0,150,GasA,4,1,SBrkr,856,854,0,3,1,2,8,1,0,Attchd,1.0,548,2.0,2.0,2,0,0,0,WD,Normal,208500,2566,61,3.5,0.8660254037844386,0.5000000000000001,0,5,0
1,20,RL,80.0,9600,Pave,3,Lvl,AllPub,FR2,2,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,CBlock,2.0,2.0,3.0,4.0,978,1.0,0,284,GasA,4,1,SBrkr,1262,0,0,3,1,1,6,1,1,Attchd,1.0,460,2.0,2.0,2,298,0,0,WD,Normal,181500,2524,0,2.5,0.5,-0.8660254037844387,0,31,0
2,60,RL,68.0,11250,Pave,2,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,2.0,162.0,2,2,PConc,2.0,2.0,1.0,5.0,486,1.0,0,434,GasA,4,1,SBrkr,920,866,0,3,1,2,6,1,1,Attchd,1.0,608,2.0,2.0,2,0,0,0,WD,Normal,223500,2706,42,3.5,-1.0,-1.8369701987210287e-16,1,6,0
3,70,RL,60.0,9550,Pave,2,Lvl,AllPub,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,0.0,0.0,1,2,BrkTil,1.0,3.0,0.0,4.0,216,1.0,0,540,GasA,3,1,SBrkr,961,756,0,3,1,2,7,1,1,Detchd,0.0,642,2.0,2.0,2,0,0,0,WD,Abnorml,140000,2473,307,2.0,0.8660254037844386,0.5000000000000001,1,36,0
4,60,RL,84.0,14260,Pave,2,Lvl,AllPub,FR2,2,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,2.0,350.0,2,2,PConc,2.0,2.0,2.0,5.0,655,1.0,0,490,GasA,4,1,SBrkr,1145,1053,0,4,1,2,9,1,1,Attchd,1.0,836,2.0,2.0,2,192,0,0,WD,Normal,250000,3343,84,3.5,-2.4492935982947064e-16,1.0,0,8,0
5,50,RL,85.0,14115,Pave,2,Lvl,AllPub,Inside,2,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,2,Wood,2.0,2.0,0.0,5.0,732,1.0,0,64,GasA,4,1,SBrkr,796,566,0,1,1,1,5,1,0,Attchd,0.0,480,2.0,2.0,2,40,0,700,WD,Normal,143000,2158,350,2.5,-0.8660254037844386,0.5000000000000001,1,14,0
6,20,RL,75.0,10084,Pave,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,3.0,186.0,2,2,PConc,3.0,2.0,2.0,5.0,1369,1.0,0,317,GasA,4,1,SBrkr,1694,0,0,3,1,2,7,1,1,Attchd,1.0,636,2.0,2.0,2,255,0,0,WD,Normal,307000,3380,57,3.0,-0.8660254037844384,-0.5000000000000004,1,2,0
7,60,RL,,10382,Pave,2,Lvl,AllPub,Corner,2,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,3.0,240.0,1,2,CBlock,2.0,2.0,1.0,4.0,859,3.0,32,216,GasA,4,1,SBrkr,1107,983,0,3,1,1,7,1,2,Attchd,1.0,484,2.0,2.0,2,235,0,350,WD,Normal,200000,3197,432,3.5,-0.5000000000000004,0.8660254037844384,0,36,0
8,50,RM,51.0,6120,Pave,3,Lvl,AllPub,Inside,2,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,0.0,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,952,GasA,3,1,FuseF,1022,752,0,2,2,1,8,6,2,Detchd,0.0,468,1.0,2.0,2,90,0,0,WD,Abnorml,129900,2726,205,2.0,0.8660254037844387,-0.4999999999999998,1,58,0
9,190,RL,50.0,7420,Pave,3,Lvl,AllPub,Corner,2,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,BrkTil,1.0,2.0,0.0,5.0,851,1.0,0,140,GasA,4,1,SBrkr,1077,0,0,2,2,1,5,1,2,Attchd,1.0,205,3.0,2.0,2,0,0,0,WD,Normal,118000,2068,4,2.0,0.5,0.8660254037844387,1,58,0
10,20,RL,70.0,11200,Pave,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,2.0,906,1.0,0,134,GasA,4,1,SBrkr,1040,0,0,3,1,1,5,1,0,Detchd,0.0,384,2.0,2.0,2,0,0,0,WD,Normal,129500,2080,0,2.0,0.8660254037844386,0.5000000000000001,0,43,0
