,PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,ACHIEVEMENTS2,MIDTERM1,MIDTERM2,FINAL1,FINAL2,TOTAL1,TOTAL2,D_MARK,NAT_MARK,GPA,Year-DOB,Month-DOB
0,Cap,Science,M,28.0,30.0,17.0,17.0,45.0,33.0,90.0,80,85,53.7,92.9,2007,9
1,Cap,Science,M,27.0,29.0,14.0,16.0,41.5,37.0,83.0,82,83,49.7,89.5,2007,11
2,Cap,Science,M,27.0,27.0,13.0,15.0,27.5,37.0,68.0,79,74,52.1,86.2,2007,7
3,Cap,Science,M,26.0,24.5,15.0,12.0,44.0,32.5,85.0,69,77,52.9,89.9,2007,2
4,Cap,Science,M,25.0,28.0,14.0,15.0,31.5,37.0,71.0,80,76,52.1,86.2,2007,5
5,Cap,Science,M,30.0,30.0,20.0,20.0,50.0,47.5,100.0,98,99,80.60000000000001,99.1,2007,2
6,Cap,Science,M,30.0,30.0,20.0,20.0,48.5,47.5,99.0,98,99,79.8,99.2,2007,2
7,Cap,Science,M,28.0,29.0,16.0,17.0,44.0,41.5,88.0,88,88,67.0,95.8,2007,7
8,Cap,Science,M,30.0,30.0,19.0,16.5,45.0,40.5,94.0,87,91,64.8,95.4,2007,4
9,Cap,Science,M,26.0,24.5,14.0,15.0,35.0,30.5,75.0,70,73,52.1,85.5,2007,7
10,Cap,Science,M,28.0,29.0,12.0,18.0,40.0,41.0,80.0,88,84,47.9,90.9,2007,9
11,Cap,Science,M,26.0,27.0,14.0,12.0,37.5,23.0,78.0,62,70,33.8,80.3,2007,5
12,Cap,Science,M,30.0,30.0,19.0,17.0,45.5,41.0,95.0,88,92,55.3,92.8,2007,10
13,Cap,Science,M,28.0,30.0,17.0,20.0,45.0,39.0,90.0,89,90,55.3,93.8,2007,2
14,Cap,Science,M,27.0,29.0,16.0,19.0,42.5,37.0,86.0,85,86,59.8,92.1,2007,7
15,Cap,Science,M,27.0,27.0,18.0,17.0,36.0,39.0,81.0,83,82,59.8,92.6,2007,6
16,Cap,Science,M,28.0,29.0,20.0,16.0,45.0,43.0,93.0,88,91,50.5,94.1,2007,8
17,Cap,Science,M,30.0,30.0,19.0,20.0,48.0,46.5,97.0,97,97,75.10000000000001,98.0,2007,10
18,Cap,Science,M,25.0,30.0,15.0,16.0,44.5,30.5,85.0,77,81,45.2,87.8,2007,6
19,Cap,Science,M,27.0,28.0,16.0,12.0,38.0,30.5,81.0,71,76,57.6,89.5,2007,5
20,Cap,Science,M,26.0,24.5,15.0,14.0,32.5,34.0,74.0,73,74,51.3,87.10000000000001,2007,10
21,Cap,Science,M,25.0,30.0,12.0,14.0,40.5,42.0,78.0,86,82,56.1,90.7,2007,2
22,Cap,Science,M,28.0,30.0,16.0,20.0,46.5,46.0,91.0,96,94,71.4,98.5,2007,4
23,Cap,Science,M,28.0,29.0,16.0,15.0,35.5,32.5,80.0,77,79,56.8,90.9,2007,6
24,Cap,Science,M,27.0,30.0,18.0,16.0,46.0,44.5,91.0,91,91,57.6,95.1,2007,2
25,Cap,Science,M,28.0,27.5,16.0,15.5,35.5,31.5,80.0,75,78,53.7,90.9,2007,11
26,Cap,Science,M,30.0,30.0,18.0,19.0,47.5,42.0,96.0,91,94,64.1,95.6,2007,8
27,Cap,Science,M,25.0,28.0,15.0,15.0,40.0,40.5,80.0,84,82,59.0,89.4,2007,2
28,Cap,Science,M,25.0,27.0,7.0,14.0,29.0,33.0,61.0,74,68,41.1,81.60000000000001,2007,3
29,Cap,Science,M,30.0,30.0,19.0,19.0,49.0,44.5,98.0,94,96,66.3,96.5,2007,2
30,Cap,Science,M,24.0,24.5,12.0,14.0,38.0,33.5,74.0,72,73,49.7,87.5,2008,1
31,Cap,Science,M,23.0,24.5,10.0,12.0,37.5,24.5,71.0,61,66,42.2,81.0,2007,12
32,Cap,Science,M,30.0,30.0,18.0,20.0,49.0,44.5,97.0,95,96,73.60000000000001,95.9,2007,12
33,Cap,Science,M,26.0,29.0,15.0,12.0,33.0,36.0,74.0,77,76,43.2,86.4,2007,2
34,Cap,Science,M,26.0,27.0,13.0,12.0,38.0,28.5,77.0,68,73,52.1,84.0,2007,12
35,Cap,Science,M,25.0,28.0,14.0,17.0,48.0,41.5,87.0,87,87,54.5,94.3,2007,5
36,Cap,Science,M,28.0,28.0,14.0,17.0,40.0,40.0,82.0,85,84,47.9,89.4,2007,6
37,Cap,Science,M,28.0,28.0,14.0,14.0,42.0,38.0,84.0,80,82,44.2,90.2,2007,2
38,Cap,Science,M,23.0,28.0,10.0,15.0,43.0,24.0,76.0,67,72,47.0,86.4,2007,8
39,Cap,Science,M,27.0,24.0,12.0,12.0,32.0,22.0,71.0,58,65,44.2,83.7,2007,7
40,Cap,Science,M,26.0,27.0,17.0,14.0,44.0,42.5,87.0,84,86,55.3,91.2,2007,11
41,Cap,Science,M,28.0,28.0,17.0,16.0,41.5,39.0,87.0,83,85,53.7,92.7777777777778,2007,11
42,Cap,Science,M,30.0,30.0,18.0,17.0,40.0,38.0,88.0,85,87,56.8,93.88888888888889,2007,2
43,Cap,Science,M,28.0,30.0,16.0,18.0,43.0,35.5,87.0,84,86,59.0,93.2222222222222,2007,2
44,Cap,Science,M,30.0,30.0,17.0,14.0,41.5,44.0,89.0,88,89,56.8,94.8,2007,3
45,Cap,Science,M,30.0,30.0,20.0,20.0,48.0,43.0,98.0,93,96,67.0,95.88888888888889,2007,7
46,Cap,Science,M,29.0,30.0,18.0,18.0,44.5,42.5,92.0,91,92,61.2,94.4,2007,3
47,Cap,Science,M,25.0,28.0,13.0,15.0,31.0,34.0,69.0,77,73,44.2,86.6666666666667,2007,5
48,Cap,Science,M,30.0,30.0,20.0,19.0,49.5,44.0,100.0,93,97,66.3,98.2,2007,4
49,Cap,Science,M,28.0,30.0,15.0,16.0,37.0,42.0,80.0,88,84,52.1,92.3,2007,9
